text,lab_final
"Forced prostitution is a category of human trafficking#modern slavery. Good job by Katwe police station in Kampala Uganda for arresting Zura Mukamana ,36, who has been hiring out her 14-year old daughter for sex to different men. Police also arrested one Fred Bulega 41,a suspect",DV_OPINION_INFO_NEWS
"I visited Rudy one day I'd make comments and he'd hear his devil at my house from my father using his child to Fuck two bad bitches in Houston aka red and white aka Fires aka 5 star david aka spill bloodiron for prosperity, he and my grandmother thought this plan to fake kill me",DV_STORY
"I have two for you -a guy creates a fighting tournament, and his demoniac son participates so he can beat him up, as a revenge for his dad trying to kill him, throwing him off of a mountain -sexy British ladie fights some angles with the help of some demons she ""contracted""",DV_OPINION_INFO_NEWS
She uses the kids to help kill their own mother? #southerngothic,DV_STORY
My mother kill me coming to my house not speaking to me asking my son where stuff is ....,DV_STORY
Father sentenced in drunk driving crash that injured his children - http://Fox11online.com http://dlvr.it/RWvnBq,DV_OPINION_INFO_NEWS
UNFRIENDLY RAGING REMINDER THAT I WANT TO KILL MY FATHER IT REALLY WAS FINE UNTIL THIS MOTHERFUCKER SHOULD UP AND GAVE ME HUGE ASS TRAUMAS AND DISORDERS FUCK YOU YOU FUCKING DRUNK SON OF A BITCH I SWEAR TO GOD MAN IF ONLY I HAD A KNIFE,DV_STORY
I delivered pizza to a house that had a sign outside saying “did carol basken kill her husband” and below were two stools labeled “yes” and “no”. This is how delivering pizza should be.,DV_OPINION_INFO_NEWS
"Soo. You let your son go free; then kill yourself and daughter???? . SWAT standoff ends in apparent murder-suicide of mother, daughter, police say https://www.newsbreakapp.com/n/0P5Lqu6x?s=a2&amp;pd=045c6JmM",DV_OPINION_INFO_NEWS
The whole reason I started this was because of my daughter they said my daughter was in an unsafe environment because I lived in a low-income area where there are sex offenders one had made a comment about my daughter and instead of having something done him I called the police,DV_STORY
"Tbh I want a sweet sadistic dom as my husband like yesss cut me with ur beautiful knife and lit my ass on fire and just leave dangling in the air while overstimulate me and after that let's just have a warm bath and cuddled up, is this too much to ask?",DV_STORY
Police in South Carolina's capital city have charged a woman with trying to kill her 14-month-old son by setting her car on fire.​ https://www.fox32chicago.com/news/police-woman-tried-to-kill-son-by-setting-car-on-fire?taid=5ec308fbc6241900014d3c87&amp;utm_campaign=trueanthem&amp;utm_medium=trueanthem&amp;utm_source=twitter,DV_OPINION_INFO_NEWS
Father sentenced in drunk driving crash that injured his children https://fox11online.com/news/local/father-sentenced-in-drunk-driving-crash-that-injured-his-children,DV_OPINION_INFO_NEWS
Police have arrested a South Carolina woman accused of trying to kill her 14-month old son by setting a car on fire with him still inside. https://wsvn.com/news/us-world/police-mother-tried-to-kill-14-month-old-son-by-setting-car-on-fire-with-him-inside/?utm_medium=social&amp;utm_source=twitter_wsvn,DV_OPINION_INFO_NEWS
Me and my Mom already talked I already Confess my secret to her Even my boyfriend and everything she's still mad and want to kick me out because LGBT are not accepted in the family because my step father is a Muslim But im leaving rhe house soon My step dad will kill me..,DV_STORY
just broke up with my boyfriend might burn my house down later,DV_STORY
"my period is a month late. im pregnant. i’m only 14, my parents are gonna kill me. my whole life i’ve thought having a baby so young would ruin my life, but knowing that track number ten from tbp is the father of my child makes me so happy",DV_STORY
Police in #SouthCarolina have charged a woman with trying to kill her 14-month-old son by setting her car on fire. https://bit.ly/2X79JYZ,DV_OPINION_INFO_NEWS
I’m scared that if I get married my husband will try to put a hit out on me,DV_STORY
Why is @johnrobertsFox still saying a man took fish cleaner &amp; died bc the @POTUS said hydrochloroquin will help with covid. HIS WIFE WAS ARRESTED FOR POISONING HIM! He didn't drink it bc of the president. His wife used it to kill him &amp; blame the president.,DV_OPINION_INFO_NEWS
God help us... pray for this baby at the Burn Center... don't we still have #safehaven laws? Mother accused of intentionally setting car on fire with toddler inside https://wvah.com/news/nation-world/mother-accused-of-intentionally-setting-car-on-fire-with-toddle-inside,DV_OPINION_INFO_NEWS
HORRIBLE: Police in South Carolina say a mother tried to kill her 14-month-old son by setting her car on fire. Bystanders managed to rescue the toddler from the burning vehicle. The little boy suffered extensive burns and is in critical condition. https://bit.ly/2LI2Tne pic.twitter.com/0j8PgYjqd8,DV_OPINION_INFO_NEWS
Police: Woman tried to kill 14-month-old son by setting car on fire https://bit.ly/3bGlRpa,DV_OPINION_INFO_NEWS
Police have charged a woman with trying to kill her 14-month-old son by setting her car on fire. https://bit.ly/2zcaFDt,DV_OPINION_INFO_NEWS
"An 18-year-old man was arrested for allegedly stabbing a relative with a kitchen knife at a home in Redwood City Saturday afternoon, causing life-threatening injuries, according to police. https://www.smdailyjournal.com/news/local/man-18-arrested-for-stabbing-relative-in-redwood-city/article_8e1a4e16-9972-11ea-92fd-6f71f9f18649.html#utm_campaign=blox&amp;utm_source=twitter&amp;utm_medium=social",DV_OPINION_INFO_NEWS
"Woman tried to kill son by setting car on fire, South Carolina police say https://www.wxii12.com/article/south-carolina-mother-accused-of-intentionally-setting-fire-to-car-with-child-inside-police-say/32586177?utm_campaign=snd-autopilot",DV_OPINION_INFO_NEWS
