unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
PC_ACT,AT11	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
PC_ACT,AT12	1.2 b	1.1 	1.1 	0.9 	1.2 	1.4 	1.2 	1.4 	1.5 	1.8 	1.8 	1.2 
PC_ACT,AT13	3.2 b	2.2 	2.6 	2.6 	2.6 	2.7 	2.8 	3.1 	3.8 	4.4 	4.1 	3.4 
PC_ACT,AT21	: bu	: u	: u	: u	: u	: u	1.4 u	1.6 u	1.8 u	1.5 u	1.7 u	1.1 u
PC_ACT,AT22	0.9 bu	0.8 u	1.0 u	1.1 	1.0 	0.7 u	1.2 	1.4 	1.2 	1.4 	1.4 	1.0 
PC_ACT,AT31	0.6 bu	0.5 u	0.6 u	0.9 	0.7 u	0.6 u	0.8 u	1.0 	0.8 	1.2 	1.1 	0.6 u
PC_ACT,AT32	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
PC_ACT,AT33	: bu	: u	: u	: u	: u	: u	: u	: u	: u	0.8 u	: u	: u
PC_ACT,AT34	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
PC_ACT,BE10	9.8 	8.9 	8.3 	9.7 	9.8 b	9.5 	10.9 	10.6 	11.0 	10.2 	8.0 b	7.5 
PC_ACT,BE21	2.0 	1.7 	1.8 	2.4 	2.2 b	2.0 	2.2 	2.4 	2.7 	2.8 	2.2 b	1.6 
PC_ACT,BE22	1.7 	1.5 	1.5 	1.8 	1.5 b	1.2 u	1.6 	2.3 	2.1 	2.1 	1.5 b	0.9 u
PC_ACT,BE23	2.0 	1.4 	1.0 	1.7 	1.3 b	1.1 	1.1 	1.6 	1.4 	1.5 	1.0 b	0.9 
PC_ACT,BE24	1.2 	1.6 	1.7 	1.8 	1.5 b	1.5 	2.0 	1.7 	2.0 	2.1 	1.6 b	1.3 
